,ocf 대 유동부채,비유동장기적합률,자기자본순이익률,자기자본회전률,차입금의존도,총자본영업이익률,총자산순이익률,총자산영업이익률,총자산회전율,부도여부
1,0.889954281095551,37.87,5.09,0.94,4.93,7.26,0.0,0.07159069377995725,0.7616339023440039,0.0
2,0.7185593426047884,44.83,12.64,1.03,2.8,16.04,0.09751879251817146,0.1521839551007574,0.8371499431307846,0.0
3,0.3873719616893408,79.64,14.83,0.98,10.7,15.03,0.0915603087922063,0.12830652008368454,0.7091899948055407,0.0
4,0.22487751726051936,83.76,2.54,1.01,13.12,3.18,0.016750127131146694,0.03184235738427238,0.6775305845663322,0.0
5,0.5263365688980056,82.33,7.97,1.06,2.95,7.72,0.05208480709053392,0.07548406007142347,0.7071068898783907,0.0
6,0.30540926023197645,84.01,0.57,0.98,3.08,3.01,0.004043487445499737,0.030846058613587513,0.6730949588511519,0.0
7,0.1118279665442468,82.13,0.45,0.97,1.9,0.64,0.003200412027191793,0.006522595705646493,0.6877679811154971,0.0
8,0.1961059497307812,78.85,2.16,0.93,1.28,2.48,0.01577013483432464,0.02489598435636917,0.6785093320421178,0.0
9,0.2868168047664228,73.45,2.44,0.97,0.63,1.53,0.01768247585659477,0.015173930661666715,0.7082830544905323,0.0
10,0.4595353292093158,64.32,10.87,0.98,0.0,3.51,0.08088093358966206,0.03468631123908166,0.7400247906342465,0.0
12,-0.1845769375489172,69.41,29.16,3.15,7.81,-3.25,0.12126858244234805,-0.03224459074632904,1.3186237007926314,0.0
13,-0.046675560226397086,79.3,-11.89,1.87,8.83,0.68,-0.05427971978597405,0.0060286929917034715,0.9706318775969798,0.0
14,-0.06686184396665755,87.57,-15.33,1.52,15.11,-4.32,-0.07611027907429131,-0.04350946335182352,0.7511319786434928,0.0
15,0.2746770355580876,70.47,7.53,2.26,10.39,4.95,0.03334051164234201,0.047475017159789606,1.0445960002481505,0.0
16,-0.1627618125291931,67.34,2.36,1.75,7.38,1.47,0.011998678809027202,0.0149094603497847,0.8752881734679456,0.0
17,-0.08151217486536752,69.03,-8.56,1.36,8.2,-3.19,-0.048095667103955984,-0.033456445912420835,0.7274452298352286,0.0
18,0.019287830405460782,80.64,-17.64,1.55,9.07,-8.66,-0.09462616304913728,-0.09027244857221972,0.7986505975855729,0.0
19,-0.4632802703599945,101.31,-24.58,1.56,41.45,-8.63,-0.0926244623876792,-0.08003718350549027,0.6357980430462981,0.0
20,-0.2588937728056965,89.24,-28.36,1.42,38.7,-10.41,-0.10232253690383517,-0.09718323489211396,0.5488792030543107,0.0
21,-0.20521288412700064,173.03,-17.6,1.34,45.34,-4.31,-0.07715389834935744,-0.04527622992416184,0.558541254350781,0.0
23,-0.35593151995248584,103.09,15.48,0.39,11.34,-2.28,0.10775269832178992,-0.02343502096292898,0.2636666408013877,0.0
24,-0.04396192333239609,131.63,-3.6,0.37,18.81,0.16,-0.01906116925676186,0.0013942820254545412,0.23028221020323575,0.0
25,0.16457248408817565,101.74,1.11,0.3,25.95,-0.86,0.004460757277561104,-0.006603238505807975,0.15857225071605055,0.0
26,0.1566021215811519,102.94,2.9,0.36,25.33,2.91,0.01575472306111576,0.029563766116648668,0.19016238426978052,0.0
27,-0.032015409768210185,124.57,-0.25,0.38,29.53,1.65,-0.001368230068812395,0.016950438530535013,0.20108382334160688,0.0
28,0.22533149938624394,101.66,-1.05,0.39,29.18,0.63,-0.005434492474149008,0.006330560053664387,0.20155231069147164,0.0
29,0.5689526178035119,100.78,2.23,0.39,25.94,2.8,0.011975219992641407,0.028465335150053683,0.20662069504373304,0.0
30,0.07607314767449641,134.41,2.13,0.38,26.96,2.53,0.011165273777687614,0.025172793899047,0.20264393524078345,0.0
31,0.3062647771656216,105.39,3.27,0.47,24.32,3.05,0.017153244351212172,0.03067054180455098,0.2428423433898119,0.0
32,0.5114978155813588,103.59,4.55,0.46,20.32,3.41,0.02504214411656369,0.03441870218002525,0.251449792808416,0.0
34,0.1728687098861701,101.06,0.8,1.48,11.88,4.8,0.005520364590922093,0.04811955878208687,1.0153986159240074,0.0
35,-0.14427605890112374,91.24,-7.65,1.79,17.63,2.33,-0.050993729706628375,0.023615334048601395,1.1765174233947429,0.0
36,0.21398157367274376,84.29,11.22,2.01,23.49,4.37,0.06280315374321656,0.03990502818547005,1.232830143195051,0.0
37,0.0955822870713966,93.08,14.39,1.94,19.61,2.24,0.0832097901608793,0.02121554761912595,1.1846525794696001,0.0
38,1.3547846478754986,98.12,12.44,0.59,12.42,5.68,0.11321381891621925,0.07461535018292181,0.41011625246680417,0.0
39,0.0717293264124811,88.97,5.7,0.43,10.37,0.84,0.043214975016633024,0.007852279636059525,0.35449576220730794,0.0
40,-0.08976957189233117,93.44,-3.36,0.3,9.6,1.11,-0.027388249026095646,0.01082874725644856,0.2496204504114305,0.0
41,0.5521740028407668,85.8,4.77,0.21,15.72,4.1,0.0361910251369338,0.03809984450845589,0.1755147267133411,0.0
42,0.6153347822631731,85.51,1.26,0.16,12.51,1.1,0.010332609157473723,0.011157055918463046,0.13178606101006865,0.0
43,0.20162663368434425,91.59,4.87,0.09,9.57,3.48,0.037140670708854566,0.03147046206267687,0.07226096401423428,0.0
45,0.29386579590526896,199.98,69.54,3.09,34.35,9.94,0.11502844692073742,0.10540062401339788,0.4817223109502362,0.0
46,0.2488072008044797,147.13,40.25,1.91,28.89,11.02,0.11734423013394656,0.10978303470617894,0.5592548321081526,0.0
47,0.05947549885143887,137.38,19.88,1.12,21.39,8.39,0.08653820737136668,0.08140455475964,0.5010576467451527,0.0
48,0.17995979147684013,139.49,9.11,1.03,30.97,6.3,0.045930446082984716,0.0641009597211179,0.511536188304519,0.0
49,0.1531005395864465,133.69,6.0,0.98,38.69,3.8,0.017484244793783462,0.026476868940020597,0.4110891078844044,0.0
50,0.07519608958437038,138.75,9.16,1.2,39.22,4.01,0.036864778083433365,0.03989306619886344,0.4853311745102932,0.0
51,0.19500511630603906,129.8,5.99,1.16,37.69,4.16,0.024818584710887517,0.042034668460359866,0.4746084303091265,0.0
52,0.2063925419782812,129.32,2.25,1.15,34.64,2.84,0.009458317528805821,0.028840416001384823,0.4790604343529402,0.0
53,0.2080897600439027,132.55,3.46,1.22,33.1,3.73,0.01416322291081193,0.03709128065030666,0.500887099303176,0.0
54,0.12545503977540298,126.68,3.6,1.22,32.95,3.56,0.014756081917469266,0.035947823387601566,0.4948547827427322,0.0
56,0.4883201102028898,79.21,12.88,0.68,4.11,6.27,0.09454234642748184,0.060955839217241285,0.5100351806746934,0.0
57,0.9652862490062656,68.44,15.53,0.74,0.0,6.93,0.12309021896359434,0.06769596650127843,0.5976054259439431,0.0
58,1.1854330228097356,60.4,13.26,0.69,0.0,7.1,0.1087580022533792,0.06801207089712466,0.590037859057729,0.0
59,1.1127012271239998,61.91,12.55,0.64,0.0,6.61,0.1029829035294579,0.06271423581468348,0.5505677671019136,0.0
60,0.5893860405979622,62.78,7.69,0.62,0.0,4.2,0.06589652717132928,0.041682913428637614,0.5332071069044644,0.0
61,0.5150969705646173,62.02,6.21,0.68,0.0,2.33,0.051732529811710885,0.022607940202934797,0.5854178699329181,0.0
62,0.4602219020514437,61.56,6.18,0.8,0.0,4.09,0.0517142891509348,0.04026522324911275,0.6812711954025681,0.0
63,0.4547341747731927,55.84,6.82,0.84,0.0,4.72,0.055931472386065016,0.046121771856224215,0.7085398921717797,0.0
64,0.5632828921642294,57.71,8.61,0.9,0.0,4.65,0.06783871775379069,0.04461776379804391,0.7374218079076971,0.0
65,0.39233039160991584,56.9,9.15,0.98,0.0,4.4,0.07208112736898031,0.042554467964120934,0.7993996773997675,0.0
67,0.16938163606382015,95.05,11.79,1.97,3.72,4.58,0.0544882749003986,0.04516075044677457,0.9215270630476852,0.0
68,-0.040392584687961385,41.29,5.04,0.67,7.96,1.95,0.0236141364204539,0.012098826386796798,0.5059152241486625,0.0
69,0.6409424861015562,96.79,0.2,0.55,16.27,2.25,0.0025340072870029553,0.03670131055988588,0.4357086241431287,0.0
70,0.04874036732265501,96.24,3.66,1.12,13.38,3.75,0.025438785370081176,0.03676795952119797,0.7977454248164062,0.0
71,0.1385255873421012,87.38,2.57,1.08,8.01,3.6,0.018171068429254332,0.03446055506391795,0.7994286060072165,0.0
72,0.1123084397948705,94.67,3.18,1.1,8.28,3.5,0.024193604920929642,0.03476335805881355,0.8449613907218161,0.0
73,-0.1320322852357958,86.31,-2.13,1.5,28.3,0.93,-0.012732298463096123,0.008264586431302488,1.0041266652813785,0.0
74,0.4312268367467057,84.73,1.44,1.82,24.15,2.89,0.008694524635022065,0.029249546178594626,1.0871541159836993,0.0
75,0.2134924275046823,102.17,-0.55,1.92,22.45,3.16,-0.0033113807207603057,0.031536205635089465,1.170357418698501,0.0
76,0.17606477720753252,96.64,0.81,2.12,29.37,3.41,0.004391739073232442,0.03210945021305165,1.216601131104426,0.0
78,0.2298220376442341,136.21,10.74,0.76,34.67,8.48,0.04946192208644328,0.08338255574368962,0.35394089832135617,0.0
79,-0.21888699701639028,120.19,10.45,0.04,33.54,2.14,0.09903568682010616,0.0385587113266872,0.02307473221193091,0.0
80,-0.03273102159445746,148.94,2.76,0.07,45.6,3.58,0.012803479140462702,0.02898073970640272,0.03781156059794273,0.0
81,0.07153742695287665,163.68,-4.89,0.04,61.83,1.39,-0.021906281351854615,0.014083831902697554,0.01648150484979559,0.0
82,0.008472494718623566,138.09,0.16,0.09,56.74,3.43,0.0006053827429449062,0.03290346405692456,0.035684674456955265,0.0
83,-0.012185190692443063,131.78,22.98,0.06,46.38,2.91,0.11010649464737947,0.029403416190263643,0.03051537439055985,0.0
84,0.022212996671326885,158.13,-1.38,0.06,47.28,2.77,-0.007348909234228169,0.027833335769977263,0.029419899974762707,0.0
85,0.06225115438122442,138.03,3.27,0.07,46.22,3.67,0.017283803298971768,0.036575000304185264,0.037870329774773184,0.0
86,0.024345073441463364,138.16,1.93,0.05,45.89,2.3,0.010371215868798007,0.022982904276613245,0.02449738561332607,0.0
87,0.03734054028966583,146.02,2.5,0.04,39.99,2.39,0.014776096585927653,0.02494185126934314,0.0255367447909422,0.0
89,0.2136125688483999,118.4,5.22,2.82,43.08,3.93,0.015777665802575672,0.0419502576457373,0.7989490782114675,0.0
90,0.15089652880220875,110.07,9.7,1.33,22.47,1.42,0.03931732235668047,0.012705708095546695,0.600884054769615,0.0
91,0.08167641076207728,93.93,13.74,0.71,14.11,-1.37,0.08452069549464848,-0.013833157877778227,0.4343666987296403,0.0
92,0.15363988993114402,95.13,13.59,0.79,15.06,8.51,0.08231253374222393,0.07927366713997584,0.5158470902873663,0.0
93,0.3262003664700894,94.78,7.74,0.96,22.77,6.1,0.04888002475572235,0.06108008063113926,0.6064490694430967,0.0
94,0.4733178177625982,95.14,4.16,0.95,23.07,4.58,0.026187833228667537,0.04648801300752622,0.5874795178370401,0.0
95,0.4744063414537758,97.0,7.7,0.85,25.65,6.13,0.045475342783506116,0.059375067135217535,0.5177369419719218,0.0
96,0.3320976558600084,103.73,9.14,0.98,25.07,7.54,0.0531113029368086,0.07307048635488507,0.5867682389709279,0.0
97,0.2417862823420114,106.01,5.85,0.89,25.56,6.11,0.035455941630253375,0.061353507577088635,0.5362347995674728,0.0
98,0.1602803319246782,108.6,7.29,0.98,28.93,6.24,0.04107222408096179,0.060184524017611464,0.5723841482298587,0.0
100,-0.2064616683310907,107.07,-5.48,1.48,42.72,0.04,0.0,0.00040204317617731193,0.6500585062100503,0.0
101,-35.446752315018024,99.91,-41.19,2.64,0.0,-275.32,-0.4080608275065147,-2.7532316888992274,1.0981489504282136,0.0
102,0.9199194473218552,93.13,3.12,0.24,0.0,2.92,0.02923101435330565,0.02816612258873716,0.2324798436102752,0.0
103,-0.6151313328845147,87.98,-1.44,0.2,0.0,-1.59,-0.014334474372414741,-0.016299843754626342,0.1930103361789261,0.0
104,1.814829514629221,80.79,10.61,0.18,0.0,9.17,0.09485246215502516,0.08433935142247526,0.17225385922073422,0.0
105,2.9625403962861845,81.34,6.8,0.12,0.0,3.56,0.06511294201041044,0.03528473552147854,0.11310375576929095,0.0
106,-0.7944674483962672,80.49,1.4,0.09,0.0,1.51,0.0137456629529618,0.015118655444328397,0.09012818343208948,0.0
107,2.823716475800077,78.74,2.09,0.1,0.0,1.65,0.020366119578244867,0.016250060690675597,0.10231343875112164,0.0
108,2.1654047487181316,59.24,1.93,0.08,0.0,1.04,0.016702972014809664,0.009139992568123277,0.08365881176876211,0.0
109,2.1285649156577677,85.45,0.9,0.04,0.0,0.31,0.005527915255476131,0.0021387456593302268,0.03814160877841813,0.0
111,-0.04986535584219688,63.24,16.77,1.8,15.79,8.58,0.08147558395672379,0.07743350110409712,0.9701545058423868,0.0
112,-0.03248146035918796,59.37,3.31,1.92,23.53,6.09,0.014220014022534809,0.05454949084108384,0.9221108193619832,0.0
113,0.07311899364732694,60.91,9.83,1.8,22.45,5.56,0.04113697257263112,0.05161641907597943,0.8107226307150494,0.0
114,0.17945104678000973,67.94,8.95,1.57,19.31,3.87,0.040783726413870375,0.03796987551580695,0.7283562125753678,0.0
115,0.13486796317230332,57.74,10.18,1.7,16.27,4.47,0.045191165403093016,0.042619394742467405,0.7888478938152121,0.0
116,0.17146850014052664,57.45,10.66,1.97,13.28,4.73,0.04809944464019948,0.04587737233906883,0.917429645779122,0.0
117,0.016402251771458955,56.61,3.4,1.73,16.32,2.74,0.016703505523327087,0.027718130015338068,0.8401811952367211,0.0
118,0.0653264959153834,61.33,-10.02,1.66,17.14,1.55,-0.046957562171934066,0.015370159630974172,0.7851958587198169,0.0
119,0.17094776264420966,63.17,2.81,1.8,20.85,4.18,0.012396944133378131,0.04143179482733381,0.8013419821825785,0.0
120,0.06013268883829208,75.13,0.82,1.88,18.93,3.12,0.0035502912002243273,0.030707482843266017,0.8311442107688829,0.0
122,0.2266946182297052,79.47,14.26,1.22,34.04,11.18,0.0,0.10791585216892136,0.6275370252512498,0.0
123,0.10489112210794957,63.72,19.98,1.09,25.23,8.07,0.10692674138165766,0.07885128288587412,0.5955099339895946,0.0
124,0.4808490117301884,68.05,-8.3,0.66,25.32,-4.93,-0.0538262421943017,-0.05426566326730664,0.3871613103742508,0.0
125,0.5668705968445186,73.82,3.37,0.71,14.23,0.58,0.023531079802034758,0.00608323094558829,0.4736178877942344,0.0
126,0.3414354724650641,74.7,1.58,0.74,9.96,1.37,0.012029504625655862,0.013927830207572028,0.5491302702379188,0.0
127,0.4555852821165468,76.01,2.75,0.79,5.82,2.04,0.022083816229525582,0.02125100580336758,0.6076363899748058,0.0
128,0.5671189506539875,72.72,3.91,0.82,0.0,3.95,0.03126542081414504,0.03966707884693597,0.6563585003114348,0.0
129,-0.0861911326724521,63.8,2.57,0.76,7.37,1.44,0.019507482601847224,0.013802125517834168,0.6017274803043742,0.0
130,0.06696763627548323,70.22,-11.16,0.76,3.98,1.14,-0.0809324189690819,0.011104221377605151,0.5622637213254721,0.0
131,-0.4677127867268052,71.99,-0.7,0.85,16.28,1.72,-0.005013573615554996,0.01707260760740568,0.6138206502977557,0.0
133,0.4132633001712119,56.36,15.9,1.78,13.42,16.62,0.0,0.15901805721029835,1.111884078050007,0.0
134,0.12992924940856998,58.51,13.66,1.63,15.36,15.1,0.08129267187525914,0.14166750717792784,1.035566682710174,0.0
135,0.18015969082683975,59.26,10.43,1.64,19.32,11.29,0.058809487022793164,0.10474105754686,0.9956177533506742,0.0
136,0.33997913009472136,69.96,14.05,1.4,21.31,9.87,0.07465767638268939,0.08714235526140911,0.8444624022889418,0.0
137,0.4461528600730503,74.1,8.16,1.11,16.18,7.63,0.050777882149761366,0.07633857099661293,0.7410819762484486,0.0
138,0.183540634636078,78.97,5.8,1.11,16.99,2.55,0.034540503295140745,0.024661176974004932,0.6842116051520797,0.0
139,0.09950474004524662,79.16,2.25,1.18,26.33,4.09,0.011755550915607576,0.03786791310279087,0.6664755659599508,0.0
140,0.2847058409376996,81.82,3.92,1.23,22.87,2.5,0.021080565446410817,0.025181756059952303,0.6595020480588719,0.0
141,0.29040226681766673,81.88,6.39,1.36,15.97,3.82,0.0312553889619679,0.035877906307313336,0.7089319566984337,0.0
142,3.4242781607689263,72.61,119.34,0.09,10.92,-0.35,1.9369626415965375,-0.010507247099857129,0.04830087762979045,0.0
144,0.9284298054902224,89.42,10.13,1.41,7.48,12.11,0.06880348482592727,0.11617185769759435,0.9958553878977184,0.0
145,0.2832392503707197,88.11,1.49,1.55,13.02,10.19,0.009502614217947956,0.09587096186769953,1.0507122183814597,0.0
146,0.666084902496809,74.34,18.67,1.5,10.74,12.33,0.11775254546070235,0.11693321387385115,0.9946247179450906,0.0
147,0.9991743547607308,70.69,19.43,1.52,6.06,11.73,0.12937751496043096,0.11150645223313034,1.0676664957042343,0.0
148,0.1645766431452704,79.87,10.38,1.54,22.44,6.99,0.058660208379664236,0.060303569506045235,1.00663847088688,0.0
149,3.7833159895318857,50.82,182.43,0.02,0.0,0.49,3.364061913115855,0.01398849730387332,0.01422676468689506,0.0
150,1.7190927189830107,82.1,10.34,0.1,0.0,7.19,0.06805796137312098,0.05081494092231775,0.09227061545437898,0.0
151,3.483751147994838,82.28,7.85,0.1,0.0,7.75,0.0733424888664654,0.07509938522802949,0.0943553122702816,0.0
152,3.2761860144615427,83.04,6.93,0.09,0.0,7.02,0.0647572124741202,0.06807831240301937,0.08646102385149604,0.0
153,3.4038973126015986,77.93,1.88,0.04,0.0,1.78,0.019723032314797002,0.019408195839846647,0.03658632244026356,0.0
155,0.5461850716593488,44.26,8.98,0.84,2.59,9.6,0.0709364605809942,0.09368582279925984,0.6817181727354178,0.0
156,0.31106014568682583,39.31,8.74,0.87,0.0,8.86,0.07129752726936765,0.0878250302246851,0.7137898317379866,0.0
157,0.6045065708858061,43.12,7.1,0.92,2.82,8.31,0.0571589247763965,0.080296972299129,0.7645666570234171,0.0
158,0.8536405313505236,39.3,6.19,0.96,1.61,7.72,0.05155550090127454,0.07648592384719148,0.8033373588780599,0.0
159,1.1629139565410749,41.54,6.92,0.95,0.0,7.8,0.057489234083662875,0.07610571259654736,0.8069552503389141,0.0
160,0.12013183405583155,57.33,1.59,0.91,2.71,5.93,0.01306840686681745,0.05810194330362142,0.7623120147300088,0.0
161,0.4312464624584423,66.09,7.08,0.92,9.77,8.27,0.05242982043732574,0.0774317790198343,0.7304038961869174,0.0
162,0.3952647535442877,63.17,8.71,0.97,1.99,8.56,0.06722836417062357,0.0840194910015237,0.7633818986480511,0.0
163,0.4271641211056086,61.45,8.29,0.99,2.04,8.5,0.06558825158132521,0.08279691013844476,0.8007299180989468,0.0
164,0.30425484511529993,64.06,4.67,1.03,3.54,9.82,0.03609618196020445,0.09415954701031387,0.8282022767198604,0.0
166,0.0067297589511870854,111.13,0.26,3.09,31.77,-0.44,0.0010551773826855218,-0.0043103330907843865,1.277909203902763,0.0
167,0.1342187416977324,116.14,2.1,3.03,35.91,2.18,0.00736357448396929,0.019966829486241445,1.1575077560298876,0.0
168,0.4275367599637746,113.85,22.11,2.81,26.45,7.07,0.0856035051243106,0.06755402501629716,1.1369889874857202,0.0
169,0.4829127827263154,113.81,26.46,2.73,15.48,9.45,0.12103416134011755,0.09020982141011546,1.3080340440228777,0.0
170,0.40782870994709575,104.38,15.89,2.44,15.83,9.1,0.07718137178912887,0.08172777393500161,1.320751502100603,0.0
171,0.4265015212163293,98.45,15.27,2.0,12.33,6.87,0.08728707762592704,0.06721098073631786,1.170299252064138,0.0
172,0.5353136403316682,92.8,16.38,1.76,10.35,5.77,0.0980696950657535,0.05515497839288125,1.1036583302970553,0.0
173,0.25103788541567656,83.99,13.29,1.64,13.62,5.02,0.07986418850978473,0.04732977715122147,1.0441734932525226,0.0
174,0.3996399811680467,87.91,12.48,1.63,14.55,7.13,0.07327486497734753,0.0673624661872834,1.0158314377581308,0.0
175,0.31428236738782694,85.97,9.58,1.46,17.06,5.53,0.056941063025555426,0.05352041555420008,0.8983002183317939,0.0
177,-0.11836734256340115,125.87,6.84,5.22,31.8,2.59,0.01954947115986253,0.02657657580679961,1.4506804772163693,0.0
178,-0.0713357552966149,131.68,0.56,3.74,36.93,1.34,0.0018785676983937394,0.01296525883021463,1.2986835676107704,0.0
179,0.1262332259898831,109.45,12.26,2.78,27.8,3.37,0.048899168060699466,0.03124547591980969,1.1995360867394562,0.0
180,0.3347405646891598,126.27,7.07,3.18,26.81,2.76,0.027184962376938786,0.024516012082401544,1.37709932115932,0.0
181,0.06330852810622442,144.64,-3.08,3.53,29.23,-0.28,-0.00938863072815366,-0.0023488259276779355,1.2979424886924795,0.0
182,-0.08104878317025141,134.43,-12.8,3.23,27.76,-4.6,-0.04903520875082955,-0.04666536153043799,1.2203090196421906,0.0
183,0.367197767683946,136.93,0.75,3.32,17.68,0.84,0.003135823023897245,0.008446084399977441,1.3696703074733354,0.0
184,0.08719643768783543,119.97,-1.54,3.37,11.96,-0.34,-0.009452065169101569,-0.004139113781273323,1.6803205452148446,0.0
185,0.06125016041425175,120.54,0.43,1.76,14.55,1.08,0.0025280689909325704,0.010304833290959707,1.0719918179430488,0.0
186,0.30466945438379617,108.08,1.09,1.68,8.36,2.19,0.00843782407912833,0.025152215751304188,1.1303324078393333,0.0
188,-0.2625636811832375,107.33,3.3,0.17,23.88,3.0,0.022245077487001483,0.029204316402159376,0.11752692458911285,0.0
189,-0.032239379971081006,116.33,0.87,0.13,25.36,0.88,0.005268695746906757,0.007794006601958594,0.09149181192031172,0.0
190,0.2505951283281781,104.17,4.99,0.17,22.11,3.97,0.03450438221094248,0.03985441191342868,0.11807087415310764,0.0
191,0.2693483511368574,107.0,3.85,0.16,22.57,4.16,0.02668650535700115,0.04103363100358691,0.1158565090461885,0.0
192,0.16249505181872742,106.34,2.63,0.13,21.19,3.07,0.019038569442411817,0.03106518002362658,0.09572547854889213,0.0
193,0.20580720860981094,102.87,7.5,0.14,20.77,2.91,0.054032510754212414,0.028538937928344724,0.09938994525595568,0.0
194,0.4802044337197928,100.76,9.53,0.19,19.53,8.23,0.06914756064242024,0.07986685948430174,0.14568686858527866,0.0
195,0.3617758222828703,97.19,6.84,0.16,18.61,6.16,0.05142206991217512,0.060687993920340036,0.1257899460731754,0.0
196,0.3285429217288644,100.64,4.46,0.15,18.19,4.25,0.03406096337824118,0.04205871636259842,0.11813051410757955,0.0
197,2.6222368443696324,82.58,26.58,0.31,13.96,20.09,0.19456307333585304,0.18363914851088506,0.2479488590498505,0.0
199,-0.13104843275019834,70.87,8.58,1.86,13.16,7.26,0.040542394734099464,0.06777353393466375,0.9387878038462282,0.0
200,0.0149537450412657,79.78,1.83,1.41,21.54,1.71,0.007487755722979445,0.014967375921629476,0.6602127493725533,0.0
201,-0.2562881606027832,70.41,1.52,1.35,27.91,1.0,0.006289019602794381,0.009576276706235046,0.5840234984035766,0.0
202,0.039759049423218236,98.06,1.12,1.51,34.95,2.98,0.004192198372283204,0.02838666937678465,0.5942658670342955,0.0
203,-0.11465627417931795,122.61,-17.66,1.39,36.59,-4.81,-0.05979713866500656,-0.04834308860356712,0.4669611904378545,0.0
204,0.13499921906343987,112.51,-156.0,2.31,0.0,-10.34,-0.5501622130654966,-0.1614450264084118,0.5218115212134604,0.0
205,-0.17307709419486528,78.71,-193.98,12.65,4.74,-8.44,-0.15091973401484912,-0.10305192990554073,0.8065475242984639,0.0
206,0.056480775669054635,0.0,0.0,0.0,5.46,-4.15,-0.110735164033264,-0.04548644643762093,1.0238934022724695,1.0
208,0.029594959301462963,47.48,4.37,2.6,31.47,6.32,0.02157364290618198,0.06111153735144002,1.3265509532414308,0.0
209,0.014046734202653977,53.25,9.11,2.79,34.2,6.78,0.0430780065433234,0.06510000861530722,1.3743273137493994,0.0
210,0.19293266481114693,73.29,10.05,2.13,20.55,5.92,0.04719796251425837,0.05097027996843784,1.160097491903492,0.0
211,-0.02792505410205232,70.08,3.95,1.91,22.89,2.9,0.021462519749364157,0.02787599255663897,1.0771559245444315,0.0
212,0.25955839908140466,70.02,5.19,1.93,21.39,5.26,0.02778029922223117,0.05188947019652612,1.046865935491316,0.0
213,0.2111400289834288,71.01,6.01,1.95,22.34,5.04,0.03141776071617265,0.04898414029618652,1.0493480599731824,0.0
214,0.16768475247579775,69.21,6.99,2.02,22.35,5.92,0.03561833117586899,0.05685339846477306,1.0736018482576395,0.0
215,0.2990157070146144,71.38,9.02,1.96,21.4,4.69,0.047748456901842165,0.04631265411264419,1.0522671891300006,0.0
216,0.22549523741886665,79.13,8.79,1.83,23.22,3.51,0.04737639868823667,0.034720246943356986,0.9986036665140025,0.0
217,0.09269289798711194,80.64,6.98,1.73,23.55,3.55,0.037797994455523336,0.034973234290755266,0.9503180500548556,0.0
219,-0.1783387761167918,146.0,-31.89,3.8,58.94,-2.49,-0.05963961681440946,-0.02386249679507116,0.7420084699839755,0.0
220,0.032877263528947875,141.9,-41.72,3.65,61.74,1.31,-0.08223779881770009,0.012522015589373705,0.7517419430286941,0.0
221,0.13230385226717992,118.75,8.46,2.86,43.07,2.31,0.020738879290216904,0.021579139707556972,0.7507942856944775,0.0
222,-0.0016312185326023984,116.51,11.01,2.55,33.71,4.43,0.038294426513441344,0.04347628297508891,0.9046018832551496,0.0
223,-0.20299574582474386,113.6,-9.33,2.93,49.78,1.21,-0.026117462405508846,0.010800835162621236,0.9156980231597759,0.0
224,0.021711913480912084,179.45,-51.41,3.32,55.5,-5.47,-0.11863545704693446,-0.05426238715860458,0.7719123944484241,0.0
225,-0.15346286750582078,337.07,-168.67,4.78,64.91,-9.62,-0.2813216556375889,-0.10811877740072168,0.7089325272247807,1.0
227,0.3656769540439862,122.27,5.44,2.64,13.89,1.68,0.028940140113911907,0.016826909605502125,1.3992541458652357,0.0
228,0.019326616908567518,116.95,2.66,2.13,18.39,-1.0,0.011842791578319262,-0.008260820444433438,1.1523699975797863,0.0
229,0.3121617595505543,114.8,2.14,1.44,11.17,1.06,0.012068530251455406,0.010628625362175256,0.8069450097402044,0.0
230,0.06477992019672224,115.6,11.69,1.96,13.57,4.23,0.06075766209337951,0.039299910591495985,1.0965341142885183,0.0
231,0.10780324262474274,122.36,8.03,2.27,20.79,4.06,0.0389136090840331,0.03818598191274825,1.169766867546775,0.0
232,0.1174012812681962,115.99,8.2,2.23,18.69,3.6,0.0395495568728138,0.035209470489989105,1.1007929977537916,0.0
233,0.07667934612796329,120.74,5.88,2.29,25.38,3.98,0.02501336781586137,0.036483679152558665,1.0618626855337343,0.0
234,0.062454069119196515,121.72,2.71,2.16,25.81,1.9,0.012638967358673177,0.019699899260225057,0.9759708321367094,0.0
235,0.15934052803299348,113.84,7.08,2.12,21.07,3.64,0.03402624733696805,0.03667480094726858,1.0120051832945274,0.0
236,0.049357864822529095,112.87,6.88,2.19,25.4,3.69,0.03154660452660637,0.03526690733288606,1.0495906966075914,0.0
238,-0.18361765250395973,104.09,3.21,2.22,16.26,0.77,0.0,0.007653689266753394,1.6300392213419987,0.0
239,0.12133717533067155,108.46,0.93,2.47,16.56,3.88,0.006798267744436362,0.03878961754658829,1.8068853440092447,0.0
240,0.23556246866526925,107.76,1.64,2.03,14.49,2.45,0.012776369571622006,0.0253148150428102,1.530516122165953,0.0
241,0.0557652821765104,120.07,3.49,2.33,25.0,3.77,0.02413592739287173,0.035353119520609426,1.7155665125045805,0.0
242,0.1366472379403377,113.89,8.17,2.67,18.84,6.35,0.0609055903763456,0.0646638993507406,1.9541757825665351,0.0
243,0.15691812827174248,112.2,4.2,2.39,18.0,4.78,0.0318691299719291,0.047399322767772895,1.830979267971941,0.0
244,0.1890612804579884,113.64,4.0,1.94,19.51,4.39,0.030726325190103713,0.0438887263794716,1.4901930510570172,0.0
